MergeSort,array size,time(ns),comparisons,swaps,maxdepth
MergeSort,10,11521,32,25,1
MergeSort,100,95641,650,286,4
MergeSort,500,401760,4592,1753,6
MergeSort,1000,825731,10375,3726,7
MergeSort,5000,829277,58571,11062,10
MergeSort,10000,1680555,127262,22163,11
MergeSort,20000,3052026,274192,43911,12
MergeSort,30000,8036969,450906,101559,12
MergeSort,40000,8894627,588583,88366,13
MergeSort,50000,12252142,769630,140189,13
MergeSort,100000,7934025,1639206,280180,14
MergeSort,500000,42960497,9610391,1782415,16
MergeSort,1000000,105269328,20220514,3565238,17
